Universe,Fixture Group,Fixture Type,Fixture Index,Mode Channels,DMX Start,DMX End,Footprint,Notes,Address Range
U1,Overhead Truss (L),Moving Head Beam,1,16,1,16,16,Left overhead movers; odd grouping (5) for sweep focus,1–16
U1,Overhead Truss (L),Moving Head Beam,2,16,18,33,16,Left overhead movers; odd grouping (5) for sweep focus,18–33
U1,Overhead Truss (L),Moving Head Beam,3,16,35,50,16,Left overhead movers; odd grouping (5) for sweep focus,35–50
U1,Overhead Truss (L),Moving Head Beam,4,16,52,67,16,Left overhead movers; odd grouping (5) for sweep focus,52–67
U1,Overhead Truss (L),Moving Head Beam,5,16,69,84,16,Left overhead movers; odd grouping (5) for sweep focus,69–84
U1,Overhead Truss (R),Moving Head Beam,1,16,86,101,16,Right overhead movers; mirrors left,86–101
U1,Overhead Truss (R),Moving Head Beam,2,16,103,118,16,Right overhead movers; mirrors left,103–118
U1,Overhead Truss (R),Moving Head Beam,3,16,120,135,16,Right overhead movers; mirrors left,120–135
U1,Overhead Truss (R),Moving Head Beam,4,16,137,152,16,Right overhead movers; mirrors left,137–152
U1,Overhead Truss (R),Moving Head Beam,5,16,154,169,16,Right overhead movers; mirrors left,154–169
U2,Side Truss (L),LED Wash,1,10,1,10,10,Left side washes; even for symmetry,1–10
U2,Side Truss (L),LED Wash,2,10,12,21,10,Left side washes; even for symmetry,12–21
U2,Side Truss (L),LED Wash,3,10,23,32,10,Left side washes; even for symmetry,23–32
U2,Side Truss (L),LED Wash,4,10,34,43,10,Left side washes; even for symmetry,34–43
U2,Side Truss (R),LED Wash,1,10,45,54,10,Right side washes; even for symmetry,45–54
U2,Side Truss (R),LED Wash,2,10,56,65,10,Right side washes; even for symmetry,56–65
U2,Side Truss (R),LED Wash,3,10,67,76,10,Right side washes; even for symmetry,67–76
U2,Side Truss (R),LED Wash,4,10,78,87,10,Right side washes; even for symmetry,78–87
U3,DJ Booth Center Row,Moving Head Beam,1,16,1,16,16,Centerpiece; odd grouping (5) with middle anchor,1–16
U3,DJ Booth Center Row,Moving Head Beam,2,16,18,33,16,Centerpiece; odd grouping (5) with middle anchor,18–33
U3,DJ Booth Center Row,Moving Head Beam,3,16,35,50,16,Centerpiece; odd grouping (5) with middle anchor,35–50
U3,DJ Booth Center Row,Moving Head Beam,4,16,52,67,16,Centerpiece; odd grouping (5) with middle anchor,52–67
